Kms_Driven,new_Selling_Price,new_Present_Price,Car_Age,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Manual
27000,335000.0,559000.0,8,0,1,1
43000,475000.0,953999.9999999999,9,1,0,1
6900,725000.0,985000.0,5,0,1,1
5200,285000.0,415000.00000000006,11,0,1,1
42450,459999.99999999994,687000.0,8,1,0,1
2071,925000.0,983000.0,4,1,0,1
18796,675000.0,811999.9999999999,7,0,1,1
33429,650000.0,861000.0,7,1,0,1
20273,875000.0,889000.0,6,1,0,1
42367,745000.0,892000.0,7,1,0,1
2135,285000.0,360000.0,5,0,1,1
51000,685000.0,1038000.0000000001,7,1,0,1
15000,750000.0,994000.0,7,0,1,0
26000,610000.0,771000.0,7,0,1,1
77427,225000.0,721000.0,13,0,1,1
43000,775000.0,1079000.0,6,1,0,1
41678,725000.0,1079000.0,7,1,0,1
43000,775000.0,1079000.0,6,1,0,1
35500,325000.0,509000.0,7,0,0,1
41442,265000.0,798000.0,12,0,1,1
25000,285000.0,395000.0,6,0,1,1
2400,490000.00000000006,571000.0,5,0,1,1
50000,440000.00000000006,801000.0,11,0,1,0
45280,250000.0,346000.0,8,0,1,1
56879,290000.0,441000.0,9,0,1,1
20000,300000.0,499000.0,11,0,1,1
55138,415000.00000000006,587000.0,9,0,1,1
16200,600000.0,649000.0,5,0,1,1
44542,195000.0,395000.0,12,0,1,1
45000,745000.0,1038000.0000000001,7,1,0,1
51439,310000.0,598000.0,10,1,0,1
54200,235000.0,488999.99999999994,11,0,1,1
39000,495000.0,749000.0,8,1,0,1
45000,600000.0,994999.9999999999,8,1,0,1
45000,550000.0,806000.0,8,1,0,1
49998,295000.0,774000.0,11,0,0,1
48767,465000.00000000006,720000.0,7,0,1,1
127000,35000.0,227999.99999999997,19,0,1,1
10079,300000.0,376000.0,6,0,1,1
62000,225000.0,798000.0,19,0,1,1
24524,585000.0,787000.0,6,0,1,0
46706,254999.99999999997,398000.0,8,0,1,1
58000,195000.0,715000.0,14,0,1,1
45780,550000.0,806000.0,8,1,0,1
50000,125000.0,269000.0,10,0,1,1
15000,750000.0,1204000.0,8,0,1,0
64532,265000.0,488999.99999999994,9,0,1,1
65000,105000.0,415000.00000000006,16,0,1,1
25870,580000.0,771000.0,7,0,1,1
37000,775000.0,928999.9999999999,5,0,1,0
104707,1490000.0,3061000.0,10,1,0,0
40000,2300000.0,3061000.0,7,1,0,0
15000,1800000.0,1977000.0,5,1,0,0
135000,1600000.0,3061000.0,9,1,0,0
90000,275000.0,1021000.0000000001,17,0,1,1
70000,360000.0,1504000.0,13,0,1,0
40534,450000.0,727000.0,7,0,1,1
50000,475000.0,1854000.0,12,0,1,1
39485,409999.99999999994,680000.0,8,0,1,1
41000,1998999.9999999998,3596000.0,8,1,0,0
40001,695000.0,1861000.0,9,0,1,1
40588,450000.0,770000.0,7,0,1,1
78000,1875000.0,3596000.0,8,1,0,0
47000,2350000.0,3596000.0,7,1,0,0
6000,3300000.0,3622999.9999999995,5,1,0,0
45000,475000.0,695000.0,8,1,0,1
11000,1975000.0,2315000.0,5,0,1,0
59000,925000.0,2045000.0,12,1,0,1
88000,434999.99999999994,1374000.0,11,0,1,1
12000,1425000.0,2091000.0,6,0,1,1
71000,395000.0,676000.0,8,1,0,1
45000,450000.0,1248000.0,11,1,0,1
56001,745000.0,1861000.0,9,0,1,1
43000,265000.0,571000.0,11,0,1,1
83000,490000.00000000006,893000.0,8,1,0,1
36000,395000.0,680000.0,7,0,1,1
72000,550000.0,1468000.0,9,0,1,1
135154,150000.0,1235000.0,18,0,1,0
80000,525000.0,2283000.0,12,0,1,0
89000,1450000.0,3061000.0,10,1,0,0
23000,1473000.0,1489000.0,6,1,0,1
40000,475000.0,785000.0,7,1,0,1
15000,2300000.0,2539000.0,5,1,0,0
38000,1250000.0,1346000.0,7,1,0,1
197176,349000.0,1346000.0,17,1,0,1
142000,250000.0,2373000.0,16,0,1,0
78000,3500000.0,9260000.0,12,1,0,1
